FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
197501,10,1614,1005909,9977220,"D","01/10/1975 16:14:00",,"",""
197501,12,1020,1005912,9999231,"D","01/12/1975 10:20:00",,"",""
197501,10,735,1005913,10029598,"D","01/10/1975 07:35:00",,"",""
197502,23,1345,1005914,9977239,"D","02/23/1975 13:45:00",,"",""
197502,22,1610,1005915,9980544,"D","02/22/1975 16:10:00",,"",""
197502,22,100,1005917,10098736,"D","02/22/1975 01:00:00",,"",""
197504,23,1440,1005923,10058048,"D","04/23/1975 14:40:00",,"",""
197504,23,1640,1005924,10058054,"D","04/23/1975 16:40:00",,"",""
197504,24,1530,1005925,10124374,"D","04/24/1975 15:30:00",,"",""
197504,25,100,1005926,10124375,"D","04/25/1975 01:00:00",,"",""
197504,18,2230,1005927,10124363,"D","04/18/1975 22:30:00",,"",""
197506,18,2015,1005932,10069253,"D","06/18/1975 20:15:00",,"",""
197506,17,1310,1005933,10042025,"D","06/17/1975 13:10:00",,"",""
197506,29,1920,1005934,10086911,"D","06/29/1975 19:20:00",,"",""
197512,31,1030,1005938,10001746,"D","12/31/1975 10:30:00",,"",""
