YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
202601,209758,1308089,2,3.94,"NNE","LINCOLN",38.93,-121.2448,3855800,12114688
202601,209758,1308089,3,3.69,"NNE","LINCOLN",38.9255,-121.2442,3855530,12114652
202601,209758,1308089,4,3.57,"NNE","LINCOLN",38.9257,-121.249,3855542,12114940
202601,209758,1308090,1,1.29,"WNW","CAMANCHE",38.18,-120.92,3810800,12055200
202601,209758,1308090,2,1.19,"WNW","CAMANCHE",38.1765,-120.9202,3810590,12055212
202601,209758,1308090,3,.97,"WNW","CAMANCHE",38.1765,-120.9158,3810590,12054948
202601,209758,1308090,4,1.05,"NW","CAMANCHE",38.1804,-120.9141,3810824,12054846
202601,209758,1308091,1,.54,"W","LARCHMONT RIVERIA",38.55,-121.34,3833000,12120400
202601,209758,1308091,2,.87,"SW","LARCHMONT RIVERIA",38.5424,-121.3429,3832544,12120574
202601,209758,1308091,3,.69,"S","LARCHMONT RIVERIA",38.5402,-121.3323,3832412,12119938
202601,209758,1308091,4,.18,"SSW","LARCHMONT RIVERIA",38.5475,-121.3309,3832850,12119854
202601,209758,1308092,1,2.23,"WSW","(CIC)CHICO MUNI ARPT",39.79,-121.89,3947400,12153400
202601,209758,1308092,2,2.57,"WSW","(CIC)CHICO MUNI ARPT",39.7876,-121.8957,3947256,12153742
202601,209758,1308092,3,3.31,"W","(CIC)CHICO MUNI ARPT",39.7991,-121.9124,3947946,12154744
202601,209758,1308092,4,2.73,"W","(CIC)CHICO MUNI ARPT",39.8029,-121.9013,3948174,12154078
202601,209758,1308095,1,1.67,"WSW","CLIPPER GAP",38.9581,-121.0471,3857486,1212826
202601,209758,1308095,2,2.27,"SSE","CLIPPER GAP",38.9406,-121.0013,3856436,12178
202601,209781,1312037,1,.78,"SSW","TINLEY PARK",41.559,-87.793,4133540,8747580
202601,209781,1312037,2,.6,"ENE","SOUTH SHORE",41.763,-87.559,4145780,8733540
202601,209781,1312037,3,2.29,"S","BURR RIDGE",41.717,-87.915,4143020,8754900
